brick_id	C0
control	sidecar
arm_slots	1 2 3 4
arms	P-nosidecar P P P-nosidecar
verdict	refuted
arm_rates	9.590 9.475 9.604 9.513
input_closure_sha256	6610487698f05396d6f02d4b18b5a272c07b0bdcfad103c064181ff74bea2e37
acquisition_contract_sha256	2a31f1ba68a44bcae6cd76ca637a71ff0cae1dc94d482f7d271ccb6a23cf6cc6
analysis_contract_sha256	8d824d4d640ba3fa237613cc23567405d34786f088091dd7620d4e02068e06f0
artifact	arms/02-P/teardown.txt	655b2f84d43bc21316e925f0f9216aab926ab0b0a9a0dfc7c3d38b3161ce253a
artifact	arms/02-P/telemetry.log	0cb1ae10ad13feb1b35c58f76b7e31cb5744b9761f58ffe7bc2ba9ab3495bd0e
artifact	arms/03-P/await-quiescence.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifact	arms/03-P/clock-sidecar.stderr	ba8ff01481c04d225eaf752cd408662965babda79501d38ec7d14937622c7cb9
artifact	arms/03-P/clock-sidecar.tsv	4793bb892373b45a906fe1d02386f1b56b909bad77bcb4af8bd942250512ea7b
artifact	arms/03-P/clock-sidecar-verdict.txt	4d6ad145299f611df274e0a29f56bb559d72d5fcfd1160b684201a4e24a8e0ea
artifact	arms/03-P/graphics-latency.log	e22d5e6e336cf79cc6827e49eb88e36197dc2f505c2d6af5c5c917b31caa5d39
artifact	arms/03-P/inputs.txt	eb2c7bc4825559fff14d99a3d7ece9b1cc55dbfaffcd089aaa3455761c754fee
artifact	arms/03-P/kernel-hazards.log	0832f262c9c62ab54dbcc55f7ae6373ad26d53bb7343531356ce24bbbf776e4b
artifact	arms/03-P/launch.txt	9b09d2058737177df84275c772e846ca06b9343de1bb787b98761c6185c58d62
artifact	arms/03-P/request.json	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714
artifact	arms/03-P/request-window.tsv	964931403c18642c32ebcf09556309cc8e4457c8b41488647a8fbbf9d348c490
artifact	arms/03-P/response.json	8a7ea0443c0182e85dc519e9a05b11d65eabb9663334ae90d09bb75730e89e4f
artifact	arms/03-P/runner.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifact	arms/03-P/runner.stdout	8b20cbfb1dc2c37f9fea8fce5c648ec991fa918b59e5c09ab3d1ff06b7bc4f09
artifact	arms/03-P/runtime-inputs.json	2c6411464da446d5b1fee45b786c13610de0c30274917176e537579e3f495fb2
artifact	arms/03-P/server-effective-env.tsv	271fe68bed2ae46fdcfec145ac36efe0ad45ba9a65e95dbb40ae282ecf3ea937
artifact	arms/03-P/server.log	d8850c560bd36c1901e6e400ecaab326f90e25b463e612bfcbe81fb0996b0ffd
artifact	arms/03-P/server-log-request.slice	e3521feeab9cf7287b66b8df3ff0e00b9f2ef544f2f6c4bea8da6ce683f804c7
artifact	arms/03-P/server-process.json	6b0058f4ed507a25f09e418198fa153825227d5e5bb5fba959c309c1e445b3f2
artifact	arms/03-P/session.status	25451d69694a60d2ff123c84fbe145ba2bf6c467c2c41602d2d7b49fbe2cac92
artifact	arms/03-P/summary.json	16ad7ab6c0f74745a8bb0d86863c807c0d14e631b4a2350bdd962719e6625658
artifact	arms/03-P/teardown.txt	655b2f84d43bc21316e925f0f9216aab926ab0b0a9a0dfc7c3d38b3161ce253a
artifact	arms/03-P/telemetry.log	203ca3868ff3c725bd31ed7b182a2de736fb752fb92e7f15cc997c7cbc9e6543
artifact	arms/04-P-nosidecar/await-quiescence.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifact	arms/04-P-nosidecar/graphics-latency.log	faeb6da85b448c98dd184cd3f403a81db54a3125fc1d99cd720ae84d1c54c8ac
artifact	arms/04-P-nosidecar/inputs.txt	909c839709d6a28e9de0dc153776d0fb28923ebe0a0ab8cecf2e8f4c8ef5990d
artifact	arms/04-P-nosidecar/kernel-hazards.log	759643d54e6f06efff7e1abac18c6481869dbe7d6698f737ce2f36b4e1b3edb7
artifact	arms/04-P-nosidecar/launch.txt	2caec172ebb98da8944cedd8e33d46977207ca633a2d257aed5274d17762ebcf
artifact	arms/04-P-nosidecar/request.json	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714
artifact	arms/04-P-nosidecar/request-window.tsv	0e28d133cea1e553d45388c57712669493bd42ace7f267607019c0dc94dca5c7
artifact	arms/04-P-nosidecar/response.json	17af1d7c674cb8b8ebe543d22e3cbdf29d413428edcf55436338e50f96a631c0
artifact	arms/04-P-nosidecar/runner.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifact	arms/04-P-nosidecar/runner.stdout	179e1ff3e984b008059722273c72030c12326b5f61658a5c9a5c884418a400d2
artifact	arms/04-P-nosidecar/runtime-inputs.json	028254797de344579f99c4d2fca75f1ce3c829c90398234c9d7adf8e9d3fa6cc
artifact	arms/04-P-nosidecar/server-effective-env.tsv	271fe68bed2ae46fdcfec145ac36efe0ad45ba9a65e95dbb40ae282ecf3ea937
artifact	arms/04-P-nosidecar/server.log	912dc2b4ff3ecee00fbee6996691d993159fc9b7540c44a721d22eab60ae20ed
artifact	arms/04-P-nosidecar/server-log-request.slice	be8ab2ddb5211d1d8f07d8266d31fdc50ba0ae734066357dcb5309503c716358
artifact	arms/04-P-nosidecar/server-process.json	78a9426d9557a1e2d014ee6e9d9972365f2c6727593f9e8a5f10223cb1253b77
artifact	arms/04-P-nosidecar/session.status	0e047ac3e1e94c221009053e56da9001caf66ef66ab1524032861f3ae5ef46bb
artifact	arms/04-P-nosidecar/summary.json	ad898afb199611309c58c16bae266373cc1112d3a909eb4f54bf0b942050e383
artifact	arms/04-P-nosidecar/teardown.txt	655b2f84d43bc21316e925f0f9216aab926ab0b0a9a0dfc7c3d38b3161ce253a
artifact	arms/04-P-nosidecar/telemetry.log	936642204f3875861e630ecafa22089c8d51224a8dcddaadc5456ec8380c893c
